REM    ID    TX    TY    TZ    RX    RY    RZ    SP
REM ----- ----- ----- ----- ----- ----- ----- -----
TRA     3     1     1     0     0     0     1     0    
TRA     8     1     1     0     0     0     1     0    
TRA     9     1     1     0     0     0     1     0    
TRA     10    1     1     0     0     0     1     0    
TRA     11    1     1     0     0     0     1     0    
TRA     14    1     1     0     0     0     1     0    
TRA     15    1     1     0     0     0     1     0    
TRA     19    1     1     0     0     0     1     0    
TRA     35    1     1     0     0     0     1     0    
TRA     40    1     1     0     0     0     1     0    
TRA     59    1     1     0     0     0     1     0    
TRA     62    1     1     0     0     0     1     0    
TRA     63    1     1     0     0     0     1     0    
TRA     65    1     1     0     0     0     1     0    
TRA     81    1     1     0     0     0     1     0    
TRA     82    1     1     0     0     0     1     0    
TRA     84    1     1     0     0     0     1     0    


REM    ID      POINT               N               E               H         sN          sE         sH
REM ----- ---------- --------------- --------------- --------------- ----------  ---------- ----------
XYZ     0          A       1000.0000       1000.0000               /       0.25        0.25          /
XYZ     0          B        800.0000       1700.0000               /       0.25        0.25          /
XYZ     0          3        700.0000        900.0000               /       0.25        0.25          /
XYZ     0          5        800.0000        800.0000               /       0.25        0.25          /
                                                                                                 
XYZ     3          A        000.0000        000.0000               /       0.25        0.25          /
XYZ     3          6        -94.8691        347.8503               /       0.25        0.25          /
XYZ     3          3        000.0000        316.2300               /       0.25        0.25          /
                                                                  
XYZ     8          A        000.0000        000.0000               /       0.25        0.25          /
XYZ     8          1        281.7630       -143.5654               /       0.25        0.25          /
XYZ     8          5        000.0000        282.8400               /       0.25        0.25          /
                                                                                                 
XYZ     9          A        000.0000        000.0000               /       0.25        0.25          /
XYZ     9          1        316.2300        000.0000               /       0.25        0.25          /
XYZ     9          3        000.0000        316.2300               /       0.25        0.25          /
                                                                  
XYZ     10         A        000.0000        000.0000               /       0.25        0.25          /
XYZ     10         1        143.5654        281.7630               /       0.25        0.25          /
XYZ     10         2        000.0000        426.2600               /       0.25        0.25          /
                                                                  
XYZ     11         A        000.0000        000.0000               /       0.25        0.25          /
XYZ     11         1         20.5524        315.5614               /       0.25        0.25          /
XYZ     11         7        000.0000        538.2249               /       0.25        0.25          /
                                                                  
XYZ     14         A        000.0000        000.0000               /       0.25        0.25          /
XYZ     14         5       -128.4067        252.0123               /       0.25        0.25          /
XYZ     14         3        000.0000        316.2300               /       0.25        0.25          /
                                                                  
XYZ     15         A        000.0000        000.0000               /       0.25        0.25          /
XYZ     15         5       -282.8400        000.0000               /       0.25        0.25          /
XYZ     15         2        000.0000        426.2600               /       0.25        0.25          /
                                                                  
XYZ     19         A        000.0000        000.0000               /       0.25        0.25          /
XYZ     19         3       -281.7630        143.5654               /       0.25        0.25          /
XYZ     19         2        000.0000        426.2600               /       0.25        0.25          /
                                                                  
XYZ     35         6        000.0000        000.0000               /       0.25        0.25          /
XYZ     35         5        100.0000        000.0000               /       0.25        0.25          /
XYZ     35         3        000.0000        100.0000               /       0.25        0.25          /
                                                                  
XYZ     40         6        000.0000        000.0000               /       0.25        0.25          /
XYZ     40         3        000.0000        100.0000               /       0.25        0.25          /
XYZ     40         2        000.0000        500.0000               /       0.25        0.25          /
                                                                  
XYZ     59         1        000.0000        000.0000               /       0.25        0.25          /
XYZ     59         2       -178.2013         90.7981               /       0.25        0.25          /
XYZ     59         7        000.0000        223.6100               /       0.25        0.25          /
                                                                  
XYZ     62         1        000.0000        000.0000               /       0.25        0.25          /
XYZ     62         7        -47.4938        218.5081               /       0.25        0.25          /
XYZ     62         B        000.0000        412.7871               /       0.25        0.25          /
                                                                  
XYZ     63         1        000.0000        000.0000               /       0.25        0.25          /
XYZ     63         7       -158.1161        158.1161               /       0.25        0.25          /
XYZ     63         4        000.0000        316.2300               /       0.25        0.25          /
                                                                  
XYZ     65         5        000.0000        000.0000               /       0.25        0.25          /
XYZ     65         3        -76.4963        118.9451               /       0.25        0.25          /
XYZ     65         2        000.0000        511.5624               /       0.25        0.25          /
                                                                  
XYZ     81         2        000.0000        000.0000               /       0.25        0.25          /
XYZ     81         7         49.2869        218.1106               /       0.25        0.25          /
XYZ     81         B        000.0000        411.9425               /       0.25        0.25          /
                                                                  
XYZ     82         2        000.0000        000.0000               /       0.25        0.25          /
XYZ     82         7        -70.9525        212.0547               /       0.25        0.25          /
XYZ     82         4        000.0000        424.1093               /       0.25        0.25          /
                                                                  
XYZ     84         7        000.0000        000.0000               /       0.25        0.25          /
XYZ     84         B       -179.7588         87.6742               /       0.25        0.25          /
XYZ     84         4        000.0000        223.6100               /       0.25        0.25          /
